 number  2Theta(deg.)             d(Å)           Q(Å-1)   sin_Th/l (A-1)        1/d (A-1)        wave
 182         59.27825          1.56146          4.02393          0.32021          0.64043          1.54439
 183         59.29055          1.55729          4.03469          0.32107          0.64214          1.54056
 184         59.34965          1.55588          4.03835          0.32136          0.64272          1.54056
 185         59.45275          1.55729          4.03469          0.32107          0.64214          1.54439
 186         59.51205          1.55588          4.03835          0.32136          0.64272          1.54439
 187         59.63125          1.54920          4.05575          0.32275          0.64549          1.54056
 188         59.79455          1.54920          4.05575          0.32275          0.64549          1.54439
 189         60.17625          1.53647          4.08937          0.32542          0.65084          1.54056
 190         60.23235          1.53517          4.09282          0.32570          0.65139          1.54056
 191         60.25315          1.53469          4.09410          0.32580          0.65160          1.54056
 192         60.34145          1.53647          4.08937          0.32542          0.65084          1.54439
 193         60.39765          1.53517          4.09282          0.32570          0.65139          1.54439
 194         60.41855          1.53469          4.09410          0.32580          0.65160          1.54439
 195         60.91035          1.51970          4.13450          0.32901          0.65803          1.54056
 196         61.07795          1.51970          4.13450          0.32901          0.65803          1.54439
 197         61.09355          1.51558          4.14573          0.32991          0.65981          1.54056
 198         61.26175          1.51558          4.14573          0.32991          0.65981          1.54439
 199         61.60515          1.50421          4.17706          0.33240          0.66480          1.54056
 200         61.69635          1.50221          4.18263          0.33284          0.66569          1.54056
 201         61.72445          1.50159          4.18435          0.33298          0.66596          1.54056
 202         61.76445          1.50072          4.18679          0.33317          0.66635          1.54056
 203         61.77505          1.50421          4.17706          0.33240          0.66480          1.54439
 204         61.86655          1.50221          4.18263          0.33284          0.66569          1.54439
 205         61.89475          1.50159          4.18435          0.33298          0.66596          1.54439
 206         61.93485          1.50072          4.18679          0.33317          0.66635          1.54439
 207         62.33055          1.48844          4.22132          0.33592          0.67184          1.54056
 208         62.50295          1.48844          4.22133          0.33592          0.67184          1.54439
 209         62.57895          1.48313          4.23644          0.33713          0.67425          1.54056
 210         62.75225          1.48313          4.23645          0.33713          0.67425          1.54439
 211         63.32505          1.46744          4.28174          0.34073          0.68146          1.54056
 212         63.34465          1.46703          4.28293          0.34082          0.68165          1.54056
 213         63.50085          1.46744          4.28174          0.34073          0.68146          1.54439
 214         63.52045          1.46703          4.28293          0.34082          0.68165          1.54439
 215         63.66795          1.46036          4.30250          0.34238          0.68476          1.54056
